City,Median Income,State,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
Lafayette,53953,Louisiana,122852,9.0,9.0,164.4,451.8,"1,082.6","4,268.6",196.2,634.1,"5,547.3"
Shreveport,78443,Louisiana,202164,8.4,45.5,214.2,498.6,"1,199.5","3,449.2",229.5,766.7,"4,878.2"
Portland,34067,Maine,66413,1.5,49.7,123.5,85.8,618.9,"3,220.8",123.5,260.5,"3,963.1"
Frederick,34562,Maryland,66808,1.5,38.9,158.7,371.2,366.7,"2,285.7",190.1,570.3,"2,842.5"
Brockton,35485,Massachusetts,95156,6.3,50.4,236.5,850.2,856.5,"2,150.2",220.7,"1,143.4","3,227.3"
Cambridge,49310,Massachusetts,106981,0.9,18.7,126.2,257.1,469.2,"2,320",100,402.9,"2,889.3"
Fall River,43425,Massachusetts,89753,2.2,57.9,291.9,710.8,862.4,"1,848.4",304.2,"1,062.9","3,014.9"
Framingham,25727,Massachusetts,69605,0.0,10.1,30.2,181.0,364.9,"1,270.0",143.7,221.2,"1,778.6"
Haverhill,27274,Massachusetts,61897,3.2,19.4,84.0,568.7,634.9,"1,486.3",203.6,675.3,"2,324.8"
Lawrence,32631,Massachusetts,77661,2.6,32.2,287.1,688.9,690.2,956.7,883.3,"1,010.8","2,530.2"
Lowell,43220,Massachusetts,108539,0.0,34.1,160.3,344.6,782.2,"1,825.2",271.8,539,"2,879.1"
Lynn,36403,Massachusetts,91846,2.2,52.3,185.1,581.4,760.0,"1,757.3",301.6,820.9,"2,818.8"
Malden,27716,Massachusetts,60605,1.7,31.4,123.8,305.3,463.7,"1,310.1",211.2,462.0,"1,985.0"
New Bedford,41300,Massachusetts,96031,2.1,56.2,283.2,731.0,967.4,"2,030.6",313.4,"1,072.6","3,311.4"
Newton,32074,Massachusetts,86710,0.0,5.8,19.6,62.3,213.4,799.2,18.5,87.6,"1,031.0"
Quincy,46448,Massachusetts,93736,0.0,33.1,89.6,305.1,528.1,"1,006.0",123.8,427.8,"1,657.8"
Somerville,37108,Massachusetts,77200,0.0,29.8,106.2,212.4,450.8,"1,616.6",165.8,348.4,"2,233.2"
Springfield,56229,Massachusetts,154518,7.1,25.2,350.8,656.2,"1,499.5","2,554.4",491.9,"1,039.4","4,545.7"
Worcester,81973,Massachusetts,183247,4.4,18.0,228.7,708.3,"1,113.3","2,143",253.8,959.4,"3,510"
Ann Arbor,49077,Michigan,115008,0.9,30.4,43.5,122.6,620.8,"1,650.3",99.1,197.4,"2,370.3"
Dearborn,38777,Michigan,97215,1.0,24.7,110.1,195.4,475.2,"2,533.6",367.2,331.2,"3,376.0"
Farmington Hills,37173,Michigan,80316,1.2,18.7,14.9,57.3,287.6,"1,129.3",156.9,92.1,"1,573.8"
Flint,33879,Michigan,101632,62.0,106.3,662.2,"1,899","2,931.2","2,171.6",451.6,"2,729.5","5,554.4"
Grand Rapids,80311,Michigan,189953,8.4,24.2,243.2,495.4,"1,009.2","2,333.7",141.1,771.2,"3,484"
Kalamazoo,30482,Michigan,74797,12.0,102.9,220.6,542.8,"1,116.4","2,854.4",200.5,878.4,"4,171.3"
