City,Median Income,State,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
Auburn,32859,Alabama,54785,5.5,23.7,45.6,166.1,763.0,2646.7,93.1,240.9,3502.8
Birmingham,91740,Alabama,213266,31.4,71.3,460.9,954.2,"2,205.7","4,239.8",488.6,"1,517.8","6,934.1"
Dothan,30920,Alabama,66275,7.5,45.3,150.9,277.6,"1,336.9","2,894.0",196.2,481.3,"4,427.0"
Hoover,38178,Alabama,82332,2.4,15.8,55.9,30.4,477.3,"2,067.2",103.2,104.5,"2,647.8"
Huntsville,99557,Alabama,183691,7.6,39.2,248.2,628.2,"1,178.6","3,476.5",386.5,923.3,"5,041.6"
Montgomery,82966,Alabama,209018,21.1,19.6,219.6,135.4,"1,631","3,611.2",526.7,395.7,"5,768.9"
Tuscaloosa,42870,Alabama,91973,4.3,40.2,184.8,290.3,"1,285.2","3,223.8",219.6,519.7,"4,728.6"
Avondale,32208,Arizona,78364,8.9,5.1,91.9,191.4,874.1,"3,511.8",312.6,297.3,"4,698.6"
Buckeye,32161,Arizona,52213,5.7,1.9,21.1,74.7,716.3,1769.7,141.7,103.4,2627.7
Chandler,105611,Arizona,242721,1.6,26.4,61.4,169.3,472.6,"2,129.2",105.5,258.7,"2,707.2"
Flagstaff,30080,Arizona,66633,0.0,42.0,67.5,283.6,363.2,"3,801.4",88.5,393.2,"4,253.1"
Gilbert,94016,Arizona,214264,2.3,8.9,27.5,56.9,338.8,"1,164.9",76.5,95.7,"1,580.3"
Glendale,89664,Arizona,232997,5.2,23.2,177.3,285.8,"1,221.9","4,662.3",525.3,491.4,"6,409.5"
Goodyear,38956,Arizona,67033,0.0,17.9,35.8,100.0,714.6,"1,772.3",159.6,153.7,"2,646.5"
Maricopa,23278,Arizona,44881,2.2,20.1,26.7,80.2,345.4,1412.6,122.5,129.2,1880.5
Peoria,74637,Arizona,158347,5.7,15.2,48.6,117.5,586.7,"2,196.4",168,186.9,"2,951.1"
Scottsdale,118561,Arizona,223432,1.3,18.8,51.5,75.6,561.7,"2,036.9",107.9,147.2,"2,706.4"
Surprise,59045,Arizona,120793,2.5,6.6,51.3,73.7,429.7,"1,532.4",97.7,134.1,"2,059.7"
Tempe,76512,Arizona,166061,6.6,26.5,152.4,343.2,752.7,"3,664.3",294.5,528.7,"4,711.5"
Yuma,41742,Arizona,95568,5.2,28.3,63.8,434.2,999.3,"2,262.3",246.9,531.6,"3,508.5"
Conway,28356,Arkansas,60700,1.6,47.8,125.2,240.5,675.5,"3,341.0",166.4,415.2,"4,182.9"
Fayetteville,42333,Arkansas,75387,1.3,76.9,53.1,383.4,668.6,"3,191.5",176.4,514.7,"4,036.5"
Fort Smith,36439,Arkansas,87483,5.7,78.9,108.6,592.1,"1,216.2","4,028.2",209.2,785.3,"5,453.6"
Jonesboro,32817,Arkansas,68807,5.8,30.5,113.4,279.0,"1,694.6","2,745.4",148.2,428.7,"4,588.2"
Little Rock,89358,Arkansas,196055,23.0,69.9,411.6,811,"2,164.7","5,337.8",558.5,"1,315.4","8,061"
Rogers,27613,Arkansas,57757,0.0,74.4,19.0,256.2,626.8,2900.1,93.5,349.7,3620.3
Springdale,29550,Arkansas,71668,1.4,79.5,41.9,340.5,637.7,"2,914.8",203.7,463.2,"3,756.2"
Alameda,30642,California,75467,1.3,11.91,106.0,92.8,392.2,"1,723.9",390.9,212.0,"2,507.1"
Alhambra,30242,California,84469,0.0,2.4,78.1,95.9,384.8,"1,585.2",301.9,176.4,"2,271.8"
Antioch,37645,California,105009,9.5,27.6,354.3,625.7,"1,658","1,828.4","1,043.7","1,017.1","4,530.1"
Apple Valley,26684,California,70823,4.2,9.9,91.8,206.1,979.9,"1,379.5",286.6,312.0,"2,646.0"
Baldwin Park,18805,California,76644,2.6,6.5,95.2,236.2,437.1,"1,123.4",507.5,340.5,"2,068.0"
Bellflower,23352,California,77886,7.7,14.1,173.3,195.2,535.4,"1,137.6",640.7,390.3,"2,313.6"
Berkeley,49088,California,114961,4.3,33.9,291.4,93.9,844.6,"3,552.5",557.6,423.6,"4,954.7"
Brentwood,22600,California,52811,1.9,7.6,79.5,98.5,454.5,1581.1,208.3,187.5,2243.9
Buena Park,23777,California,82505,1.2,15.8,93.3,139.4,414.5,"1,715.0",374.5,249.7,"2,504.1"
Burbank,43209,California,105057,1.9,22.8,105.7,100.9,364.6,"1,819",189.4,231.3,"2,373"
Camarillo,26253,California,66506,0.0,7.5,31.6,52.6,209.0,"1,153.3",73.7,91.7,"1,436.0"
Carlsbad,43752,California,107879,1.9,24.1,51.0,168.7,460.7,"1,356.1",138.1,245.6,"1,955"
Carson,27512,California,93233,7.5,15.0,152.3,382.9,644.6,"1,671.1",589.9,557.7,"2,905.6"
Chico,44270,California,87090,1.1,52.8,109.1,160.8,893.3,"1,445.6",291.7,323.8,"2,630.6"
Chino,26314,California,79792,1.3,11.3,65.2,287.0,704.3,"1,653.0",294.5,364.7,"2,651.9"
Chino Hills,24476,California,76632,0.0,2.6,28.7,52.2,456.7,706.0,84.8,83.5,"1,247.5"
