states,cities,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
 Oklahoma,Tulsa,404868,17.29,104.48,238.1,680.96,"1,376.75","3,224.26",854.60,"1,040.83","5,455.61"
 Oregon,Portland,649408,3.7,67.45,160.92,283.64,729.13,"3,824.56","1,123.33",515.70,"5,677.02"
 Pennsylvania,Philadelphia,1603797,20.06,75.02,382.46,470.04,418.25,"2,297.23",348.00,947.58,"3,063.48"
 Pennsylvania,Pittsburgh,305932,17.98,29.42,262.15,346.81,526.26,"2,365.89",222.27,656.36,"3,114.42"
 Tennessee,Memphis,652765,27.73,90.38,529.59,"1,355.62","1,460.25","4,224.49",613.08,"2,003.32","6,297.83"
 Tennessee,Nashville,674942,16.3,72.9,303.14,745.84,631.31,"2,806.61",380.03,"1,138.17","3,817.96"
 Texas,Arlington,397377,4.78,63.92,144.95,303.24,453.22,"2,402.25",342.24,516.89,"3,197.72"
 Texas,Austin,971949,2.57,85.81,101.55,224.91,450.64,"2,525.03",213.90,414.84,"3,189.57"
 Texas,Corpus Christi,329256,6.38,70.46,142.75,482.91,677.89,"2,665.40",222.02,702.49,"3,565.31"
 Texas,Dallas,1304379,12.48,62.08,327.0,373.09,737.66,"1,856.26",591.16,774.64,"3,185.09"
 Texas,El Paso,688667,2.76,53.87,58.08,264.13,188.33,"1,514.37",116.17,378.85,"1,818.88"
 Texas,Fort Worth,873069,8.02,65.17,147.3,339.72,585.98,"2,319.40",309.94,560.21,"3,215.32"
 Texas,Garland,236243,3.39,54.6,135.03,123.60,513.88,"2,175.73",342.87,316.62,"3,032.47"
 Texas,Houston,2304580,11.5,58.42,417.96,607.34,731.66,"2,900.82",495.93,"1,095.23","4,128.41"
 Texas,Irving,242062,3.3,22.31,94.19,107.00,400.31,"1,845.39",293.73,226.80,"2,539.43"
 Texas,Laredo,260669,3.84,43.73,59.08,215.22,335.29,"2,083.10",65.22,321.86,"2,483.61"
 Texas,Plano,290413,5.17,27.89,40.98,75.75,250.68,"1,366.33",116.73,149.79,"1,733.74"
 Texas,San Antonio,1434625,8.15,83.51,151.11,464.72,770.82,"3,622.65",451.37,707.50,"4,844.84"
 Virginia,Chesapeake,240119,4.58,36.23,82.46,295.69,276.11,"1,891.98",104.12,418.96,"2,272.21"
 Virginia,Norfolk,245190,14.68,55.06,151.31,334.84,471.47,"2,984.62",292.83,555.90,"3,748.93"
 Virginia,Virginia Beach,454353,3.08,22.45,59.87,52.16,165.95,"1,667.65",101.02,137.56,"1,934.62"
 Washington,Seattle,721365,3.74,36.87,210.02,382.05,"1,081.98","3,673.45",503.21,632.69,"5,258.64"
 Washington,Spokane,217066,2.76,109.64,105.5,408.63,"1,023.19","5,408.03",800.22,626.54,"7,231.44"
 Wisconsin,Madison,255850,4.3,37.13,82.86,250.15,362.32,"2,130.94",168.85,374.44,"2,662.11"
 Wisconsin,Milwaukee,595168,19.83,72.92,490.45,"1,014.17",927.13,"1,940.29",924.61,"1,597.36","3,792.04"
Texas,Abilene,119886,2.5,31.7,105.9,253.6,865,"2,656.7",142.6,393.7,"3,664.3"
Ohio,Akron,198390,12.1,84.2,290.8,499.5,"1,728.4","2,965.9",363.4,886.6,"5,057.7"
Virginia,Alexandria,145892,0.0,6.2,94.6,65.8,192.6,"1,633.4",223.5,166.6,"2,049.5"
