City,Median Income,State
Frisco,80665,Texas
Garland,80786,Texas
George,42239,Texas
Grand Prairie,70750,Texas
Harlingen,25629,Texas
Houston,942146,Texas
Irving,95909,Texas
Killeen,64777,Texas
Laredo,79072,Texas
League City,41978,Texas
Leander,28615,Texas
Lewisville,50672,Texas
Longview,32201,Texas
Lubbock,108609,Texas
McAllen,51319,Texas
McKinney,74833,Texas
Mansfield,26245,Texas
Mesquite,49690,Texas
Midland,53640,Texas
Mission,29183,Texas
Missouri City,26271,Texas
New Braunfels,42756,Texas
North Richland Hills,27385,Texas
Odessa,54163,Texas
Pasadena,49618,Texas
Pearland,45686,Texas
Pflugerville,24333,Texas
Pharr,23919,Texas
Plano,114555,Texas
Richardson,45822,Texas
Round Rock,48682,Texas
Rowlett,23939,Texas
San Angelo,39231,Texas
San Antonio,558796,Texas
San Marcos,28741,Texas
Spring,22132,Texas
Sugar Land,36977,Texas
Temple,35445,Texas
The Woodlands,44480,Texas
Tyler,36292,Texas
Victoria,25267,Texas
Waco,52857,Texas
Wichita Falls,38473,Texas
Layton,28387,Utah
Lehi,25416,Utah
Ogden,32848,Utah
Orem,31948,Utah
Provo,36198,Utah
St. George,38886,Utah
Salt Lake City,92626,Utah
Sandy,35081,Utah
South Jordan,27610,Utah
West Jordan,36479,Utah
West Valley City,43539,Utah
Alexandria,76890,Virginia
Arlington,114097,Virginia
Centreville,25109,Virginia
Chesapeake,94056,Virginia
Dale City,19694,Virginia
Hampton,57645,Virginia
Lynchburg,28916,Virginia
Newport News,76086,Virginia
Norfolk,94056,Virginia
Portsmouth,40661,Virginia
Reston,29528,Virginia
Richmond,104332,Virginia
Roanoke,45061,Virginia
Suffolk,39203,Virginia
Virginia Beach,179291,Virginia
Auburn,30938,Washington
Bellevue,62868,Washington
Bellingham,42207,Washington
Everett,46726,Washington
Federal Way,37759,Washington
Kennewick,30295,Washington
Kent,50481,Washington
Kirkland,39893,Washington
Marysville,27002,Washington
Pasco,26284,Washington
Redmond,36551,Washington
Renton,40968,Washington
Sammamish,21792,Washington
Seattle,364627,Washington
South Hill,23059,Washington
Spokane,95061,Washington
Spokane Valley,45025,Washington
Tacoma,97027,Washington
Vancouver,84778,Washington
Yakima,37918,Washington
Appleton,30831,Wisconsin
Eau Claire,30280,Wisconsin
Green Bay,45483,Wisconsin
Janesville,27361,Wisconsin
Kenosha,42461,Wisconsin
Madison,134512,Wisconsin
Milwaukee,227173,Wisconsin
Oshkosh,28147,Wisconsin
Racine,31700,Wisconsin
Waukesha,30668,Wisconsin
Cheyenne,30643,Wyoming
